titre,description,date,lieu,prix,reduction,start_date,end_date,result_city,latitude,longitude
Lucie Guillem #Jazzdedemain,Lucie guillem chante et interprète la musique dans un voyage aux multiples escales où se mélangent différentes esthétiques musicales !,Le mardi 23 juillet 2024,"58 rue des Lombards, 75001 Paris","10,00€",jusqu'à -50%,2024-07-23,,Paris,48.859848,2.347811
Jules Jassef #Jazzdedemain,"Trompettiste et compositeur, jules jassef présente sa musique à l'occasion de sa première date de résidence #jazzdedemain.",Le dimanche 28 juillet 2024,"58 rue des Lombards, 75001 Paris","10,00€",jusqu'à -50%,2024-07-28,,Paris,48.859848,2.347811
Antoine Sahler,On connaît antoine sahler pour le voir souvent aux côtés de françois morel - complice artistique depuis plus de dix ans.,Du mercredi 7 février 2024 au mercredi 21 février 2024,"53 rue des saules, 75018 Paris","16,50€",,2024-02-07,2024-02-21,Paris,48.890751,2.340416
Bash Barrow,"Bash barrow, rappeur dans l'âme, conteur d'histoires, prêche l'absurde et la chillance absolue, à qui veut se laisser bercer.",Du mercredi 14 février 2024 au mercredi 28 février 2024,"53 rue des saules, 75018 Paris","16,50€",,2024-02-14,2024-02-28,Paris,48.890751,2.340416
Quatuor À Cordes : Musique Baroque,Venez soutenir ce fabuleux jeune quatuor ! seul concert avec ce programme à paris ! dans une superbe église historique,Le samedi 10 février 2024,"1 rue des prêtres Saint-Séverin, 75005 Paris","0,00€",Gratuit,2024-02-10,,Paris,48.852161,2.345353
Gipsy Kings By Pablo Reyes Member Former,"Concert exceptionnel des gipsy kings par pablo reyes member former du groupe international, qui a vendu plus de 25 millions d'albums.",Le samedi 10 février 2024,"Rond point du Prado, 13008 Marseille","53,00€",,2024-02-10,,Marseille,43.272883,5.391191
Orchestre Pasdeloup : Ballades Musicales,L'orchestre pasdeloup se mêle à l'orchestre jazz franck tortiller pour accueillir la soprano amel brahim-djelloul à la philharmonie de paris !,Le samedi 10 février 2024,"221 avenue Jean Jaurès, 75019 Paris","7,95€",jusqu'à -36%,2024-02-10,,Paris,48.889311,2.393824
Orchestre Pasdeloup : Légendes,Direction les légendes de la bohême pour ce concert de l'orchestre pasdeloup à la philharmonie de paris !,Le samedi 23 mars 2024,"221 avenue Jean Jaurès, 75019 Paris","7,95€",jusqu'à -36%,2024-03-23,,Paris,48.889311,2.393824
Les Artistes Lyriques De L'Opéra De Paris,Second et dernier concert exceptionnel des chanteurs de l'opéra de paris bastille ! le soir même ils seront sur la scène de l'opéra de paris.,Le dimanche 11 février 2024,"27 rue de Dantzig, 75015 Paris","0,00€",Gratuit,2024-02-11,,Paris,48.834115,2.299513
Manus Baba,Manus baba commence son parcours musical avec le groupe günese yolculuk,Le dimanche 11 février 2024,"38 boulevard de Bonne Nouvelle, 75010 Paris","31,50€",jusqu'à -16%,2024-02-11,,Paris,48.870746,2.348839
Dagamba,"Dagamba ""je voudrais vous présenter le groupe dagamba !",Le mercredi 14 février 2024,"16, rue de Clichy, 75009 Paris","45,00€",,2024-02-14,,Paris,48.878381,2.330067
Nass El Ghiwane,Nass el ghiwane au casino de paris,Le lundi 26 février 2024,"16, rue de Clichy, 75009 Paris","40,00€",,2024-02-26,,Paris,48.878381,2.330067
Kima En Concert,Kima en concert au casino de paris,Le mercredi 1 mai 2024,"16, rue de Clichy, 75009 Paris","44,95€",,2024-05-01,,Paris,48.878381,2.330067
Josey,Josey au casino de paris,Le vendredi 10 mai 2024,"16, rue de Clichy, 75009 Paris","55,00€",,2024-05-10,,Paris,48.878381,2.330067
Fabregas Le Metis Noir,"Fabregas le metis noir de son vrai nom fabrice mbuyulu, est un artiste musicien congolais né à kinshasa et d'origine congolaise.",Le samedi 31 août 2024,"16, rue de Clichy, 75009 Paris","39,99€",,2024-08-31,,Paris,48.878381,2.330067
Covertramp,Covertramp le meilleur hommage planétaire à supertramp,Le jeudi 7 novembre 2024,"16, rue de Clichy, 75009 Paris","30,00€",,2024-11-07,,Paris,48.878381,2.330067
Scala & Kolacny Brothers : Gloaming,Scala & kolacny brothers - gloaming au casino de paris,Le dimanche 12 janvier 2025,"16, rue de Clichy, 75009 Paris","29,00€",,2025-01-12,,Paris,48.878381,2.330067
Chilly Gonzales,Chilly gonzales,Le mardi 10 juin 2025,"16, rue de Clichy, 75009 Paris","31,00€",,2025-06-10,,Paris,48.878381,2.330067
Les Filles Du 3ème,Les filles du 3ème c'est du jazz et de la polyphonie.,Le vendredi 16 février 2024,"13 rue Charlevoix de Villers, 33300 Bordeaux","16,50€",jusqu'à -25%,2024-02-16,,Bordeaux,44.87068,-0.548457
Trio Cémali,Le trio cémali vous invite à un voyage au coeur de la musique française de 1881 et 1915.,Le vendredi 15 mars 2024,"13 rue Charlevoix de Villers, 33300 Bordeaux","16,50€",jusqu'à -25%,2024-03-15,,Bordeaux,44.87068,-0.548457
Sting Variations,On ne présente plus ce formidable compositeur et interprète de succès planétaires.,Le vendredi 29 mars 2024,"13 rue Charlevoix de Villers, 33300 Bordeaux","16,50€",jusqu'à -25%,2024-03-29,,Bordeaux,44.87068,-0.548457
Philippine Lavrey,"Autrice, compositrice et instrumentiste, philippine lavrey fait partie des jeunes chanteuses actuelles les plus prometteuses.",Le samedi 17 février 2024,"16 rue Saint Germier, 31000 Toulouse","25,00€",,2024-02-17,,Toulouse,43.611693,1.441076
Je M'Y Crois,"Un seul en scène autobiographique qui vous fera retourner dans l'univers des années 90/2000 avec des reprises de dorothée, alizée, les l5, irene cara, lynda lemay et bien d'autres",Du mercredi 21 février 2024 au mardi 7 mai 2024,"6 rue Frochot, 75009 Paris","12,95€",jusqu'à -41%,2024-02-21,2024-05-07,Paris,48.881325,2.337625
Carla Lazzari,"Carla lazzari est ravi de vous présenter un événement musical incontournable qui promet d'être magique, envoûtant et mémorable !",Le vendredi 23 février 2024,"15, Promenade des Anglais, 06000 Nice","38,00€",,2024-02-23,,Nice,43.694941,7.263031
Frédéric François,Frédéric françois en concert,Le dimanche 25 février 2024,"18 chemin de la Loge, 31000 Toulouse","49,00€",,2024-02-25,,Toulouse,43.572731,1.434831
Sheila Tournée Anniversaire,"Voilà 60 ans que sheila a fait son apparition dans nos vies. une carrière jalonnée de nombreux tubes, avec pas moins de 26 albums qui se sont écoulés à plus de 85 millions d'exemplaires.",Le dimanche 31 mars 2024,"18 chemin de la Loge, 31000 Toulouse","40,00€",,2024-03-31,,Toulouse,43.572731,1.434831
I Muvrini : Piu Forti Tour,"I muvrini est un diamant, un diamant brut.",Le mercredi 3 avril 2024,"18 chemin de la Loge, 31000 Toulouse","39,00€",,2024-04-03,,Toulouse,43.572731,1.434831
Les Franglaises,Les franglaises : en vivant,Du mardi 4 juin 2024 au mercredi 5 juin 2024,"18 chemin de la Loge, 31000 Toulouse","38,00€",,2024-06-04,2024-06-05,Toulouse,43.572731,1.434831
Mania : The Abba Tribute,Mania : the abba tribute,Le mardi 1 octobre 2024,"18 chemin de la Loge, 31000 Toulouse","35,00€",,2024-10-01,,Toulouse,43.572731,1.434831
Montmartre En Chansons,Une immersion inoubliable dans le montmartre d'autrefois !,Du lundi 26 février 2024 au mardi 16 avril 2024,"4 rue de l' Armée d'Orient, 75018 Paris","16,50€",jusqu'à -38%,2024-02-26,2024-04-16,Paris,48.887245,2.334537
Ghada Shbeir Missaghju,Ghada shbeir missaghju.,Le mardi 27 février 2024,"4 square Rapp, 75007 Paris","14,50€",jusqu'à -50%,2024-02-27,,Paris,48.858644,2.301085
Mike Fly : Dans Le Cadre Du Festival Hip Opsession,Un vocaliste part en trip spatio-temporel sur son looper nourri au plutonium.,Du mercredi 28 février 2024 au vendredi 1 mars 2024,"11 Maison rouge, 44000 Nantes","10,95€",,2024-02-28,2024-03-01,Nantes,47.212564,-1.552058
L'Arnaque,"Pour les 6 mois de leur sortie d'album, l'arnaque créé la machine à entuber : un appareil capable de transformer leurs chansons en tubes.",Le vendredi 24 mai 2024,"11 Maison rouge, 44000 Nantes","16,50€",,2024-05-24,,Nantes,47.212564,-1.552058
Jeudi Jazz : Atingo,Les jeudi jazz sont de retour au cabaret !,Le jeudi 29 février 2024,"107 bis Boulevard Jeanne d'Arc, 13005 Marseille","15,50€",jusqu'à -20%,2024-02-29,,Marseille,43.293437,5.403455
Dimanche Classique : Mila Gostijanovic,"Lecture de poème au féminin par maria kohler, accompagnée de la pianiste mila gostijanovic.",Le dimanche 3 mars 2024,"107 bis Boulevard Jeanne d'Arc, 13005 Marseille","15,50€",jusqu'à -20%,2024-03-03,,Marseille,43.293437,5.403455
"Trio Piano, Violoncelle Et Violon","Un trio de grands solistes pour grands compositeurs romantiques, schubert, dvorak & rachmaninoff",Le vendredi 1 mars 2024,"26 avenue de New York, 75016 Paris","20,00€",jusqu'à -20%,2024-03-01,,Paris,48.863337,2.295934
Brahms: Un Requiem Allemand Et Le Chant Du Destin,Deux oeuvres de j. brahms sont au programme: le chant du destin et le fameux requiem allemand. le choeur sera accompagné de 2 pianos,Du samedi 2 mars 2024 au dimanche 3 mars 2024,"68 ter rue de Turenne, 75003 Paris","25,00€",jusqu'à -7%,2024-03-02,2024-03-03,Paris,48.859968,2.364667
Concert Du Choeur Populaire Académique De Bulgarie,Chants d'orphée concert du choeur populaire académique de bulgarie  chef du choeur : prof. kostadin buradzhiev,Le dimanche 3 mars 2024,"65 Quai d'Orsay, 75007 Paris","6,95€",jusqu'à -71%,2024-03-03,,Paris,48.862263,2.306607
Héritage Goldman,"Les plus grandes chansons de jean jacques goldman revisitées par erick benzi, son réalisateur et arrangeur historique.",Le mardi 5 mars 2024,"Place de la Porte de Versailles, 75015 Paris","59,00€",,2024-03-05,,Paris,48.832015,2.288055
So Floyd : The Pink Floyd Tribute,"Musicalement exceptionnel, techniquement hors norme, le groupe so floyd a su convaincre les mélomanes, les puristes et les fans de pink floyd",Le vendredi 8 mars 2024,"Place de la Porte de Versailles, 75015 Paris","49,00€",,2024-03-08,,Paris,48.832015,2.288055
Gospel Pour 100 Voix,"Chanteurs talentueux, énergie débordante...",Le samedi 15 juin 2024,"Place de la Porte de Versailles, 75015 Paris","20,00€",,2024-06-15,,Paris,48.832015,2.288055
David Hallyday : Requiem Pour Un Fou,"Requiem pour un fou, un show sang pour sang hallyday. un spectacle hors du temps où il est question de filiation, de transmission, et d'amour...",Le mardi 12 novembre 2024,"Place de la Porte de Versailles, 75015 Paris","35,00€",jusqu'à -4%,2024-11-12,,Paris,48.832015,2.288055
Martin Luminet,Il y a eu ce passage très remarqué lors des francofolies de la rochelle.,Le mardi 5 mars 2024,"120 Boulevard Rochechouart, 75018 Paris","20,00€",,2024-03-05,,Paris,48.882304,2.340167
Clio En Concert,"Après 7 concerts complets à paris au théâtre de la flèche et à l'européen, clio dévoile une nouvelle date à la cigale.",Le mercredi 13 novembre 2024,"120 Boulevard Rochechouart, 75018 Paris","15,00€",,2024-11-13,,Paris,48.882304,2.340167
Caillou,"Caillou, une formation issue de la galaxie magma, avec plusieurs membres en son sein, qui propose une musique puissante à la croisée du jazz électrique, de la zeuhl et du progressif façon king crimson",Le mercredi 6 mars 2024,"63, boulevard de Belleville, 75011 Paris","19,50€",jusqu'à -27%,2024-03-06,,Paris,48.870187,2.378738
Yury Revich : Olario,"Pour la salle pleyel, yury revich a imaginé un concert ambitieux et éclectique à mi-chemin entre le classique et l'électronique.",Le jeudi 7 mars 2024,"252 rue du faubourg Saint-Honoré, 75008 Paris","32,50€",,2024-03-07,,Paris,48.87695,2.30101
The Bootleg Beatles,"Retrouvez le phénomène bootleg beatles, qui rendent hommage aux emblématiques fab four.",Le dimanche 10 mars 2024,"252 rue du faubourg Saint-Honoré, 75008 Paris","34,50€",,2024-03-10,,Paris,48.87695,2.30101
Belinda Davids : The Greatest Love Of All,Belinda davids : the greatest love of all concert hommage à whitney houston,Le samedi 30 mars 2024,"252 rue du faubourg Saint-Honoré, 75008 Paris","45,00€",,2024-03-30,,Paris,48.87695,2.30101
The Musical Box Présente Genesis,Selling england by the pound - 50th anniversary,Le vendredi 5 avril 2024,"252 rue du faubourg Saint-Honoré, 75008 Paris","50,00€",,2024-04-05,,Paris,48.87695,2.30101
Mania : The Abba Tribute,Le tribute band d'abba le plus reconnu dans le monde,Le mercredi 25 septembre 2024,"252 rue du faubourg Saint-Honoré, 75008 Paris","45,00€",,2024-09-25,,Paris,48.87695,2.30101
Rock The Opera,Une fusion parfaite entre musique classique et rock.,Le samedi 14 décembre 2024,"252 rue du faubourg Saint-Honoré, 75008 Paris","45,00€",,2024-12-14,,Paris,48.87695,2.30101
Concerto Classique,"""initiation et mémoire""",Le jeudi 7 mars 2024,"39 rue Broca, 75005 Paris","17,50€",,2024-03-07,,Paris,48.837954,2.34788
Ariel Bart En Tournée,"Dans le cadre d'une tournée européenne exceptionnelle, ariel bart vient en concert à l'espace rachi le 18 mars.",Le lundi 18 mars 2024,"39 rue Broca, 75005 Paris","23,00€",,2024-03-18,,Paris,48.837954,2.34788
Au Plus Près D'Aznavour,""" au plus près d'aznavour "" est un musical live qui fait la part belle aux grandes chansons de charles aznavour et à quelques pépites moins connues.",Du mardi 28 mai 2024 au mercredi 29 mai 2024,"39 rue Broca, 75005 Paris","26,00€",,2024-05-28,2024-05-29,Paris,48.837954,2.34788
Nu-Look,"Le king du kompa arly larrivière, avec son groupe nu-look en concert fête ses 25 ans de carrière sur la grande scène mythique du zénith paris.",Le samedi 9 mars 2024,"211, Avenue Jean Jaurès, 75019 Paris","45,00€",,2024-03-09,,Paris,48.888952,2.392454
Roch Voisine : Hélène 35,"Pour fêter les 35 ans de son album hélène, certifié diamant grâce à plus d'un million d'albums vendus,",Le samedi 6 avril 2024,"211, Avenue Jean Jaurès, 75019 Paris","55,00€",,2024-04-06,,Paris,48.888952,2.392454
Didier Barbelivien : Tant Qu'Il Y Aura Des Chansons,"""tant qu'il y aura des chansons"", la première tournée de didier barbelivien dans toute la france !",Le dimanche 10 mars 2024,"32 rue Richer, 75009 Paris","32,00€",,2024-03-10,,Paris,48.87409,2.344904
Ac/Dc Tribute Show,"Ac/dc tribite show ""highway to symphony"" with symphony orchestra",Le mercredi 3 avril 2024,"32 rue Richer, 75009 Paris","39,00€",,2024-04-03,,Paris,48.87409,2.344904
Charlotte Dipanda En Concert,Charlotte dipanda en concert aux folies bergeres,Le vendredi 12 avril 2024,"32 rue Richer, 75009 Paris","45,00€",,2024-04-12,,Paris,48.87409,2.344904
Le Bagad De Lann-Bihoué,"Le bagad de lann-bihoué  véritable ambassadeur de la musique traditionnelle bretonne,",Le dimanche 30 mars 2025,"32 rue Richer, 75009 Paris","59,00€",,2025-03-30,,Paris,48.87409,2.344904
Isabelle Boulay,"Isabelle boulay, la voix de feu venue du froid, reprend la route pour retrouver son public et réchauffer les coeurs.",Le dimanche 10 mars 2024,"Rue Cardinal Richaud, 33300 Bordeaux","38,90€",,2024-03-10,,Bordeaux,44.887381,-0.564287
Electro Deluxe,"Après 8 albums, une victoire du jazz et des concerts dans le monde entier, le groupe vous invite à célébrer une longévité rare dans le paysage musical.",Le dimanche 24 mars 2024,"Rue Cardinal Richaud, 33300 Bordeaux","33,90€",,2024-03-24,,Bordeaux,44.887381,-0.564287
Kyle Eastwood,"Avec une dizaine d'albums à son crédit, kyle eastwood n'a pas cédé sur son désir.",Le dimanche 31 mars 2024,"Rue Cardinal Richaud, 33300 Bordeaux","38,90€",,2024-03-31,,Bordeaux,44.887381,-0.564287
The Amy Winehouse Band,Revivez les plus grands succès d'amy winehouse lors d'un concert unique avec son groupe d'origine !,Le mardi 2 avril 2024,"Rue Cardinal Richaud, 33300 Bordeaux","28,90€",,2024-04-02,,Bordeaux,44.887381,-0.564287
The Musical Box Commemorates 50th Selling England By The Pound,"Il y a 50 ans, genesis offre selling england by the pound et change l'histoire du rock.",Le jeudi 11 avril 2024,"Rue Cardinal Richaud, 33300 Bordeaux","48,90€",,2024-04-11,,Bordeaux,44.887381,-0.564287
Sarah Schwab,"Sarah schwab est un phénomène vocal. "" du rêve à la réalité "" est un spectacle unique d'imitations toutes plus bluffantes les unes que les autres.",Le vendredi 31 mai 2024,"Rue Cardinal Richaud, 33300 Bordeaux","28,90€",,2024-05-31,,Bordeaux,44.887381,-0.564287
Aurélien Vivos,"Depuis sa victoire dans l'émission the voice, aurélien vivos vit un véritable conte de fée.",Le jeudi 20 juin 2024,"Rue Cardinal Richaud, 33300 Bordeaux","33,90€",,2024-06-20,,Bordeaux,44.887381,-0.564287
Claire Lefilliâtre / Les Épopées,"Peri, castaldi, belli, caccini, strozzi, monteverdi",Le lundi 11 mars 2024,"10 boulevard Montmartre, 75009 Paris","27,00€",,2024-03-11,,Paris,48.871839,2.341972
Thomas Dunford,"Dowland, kapsberger, dalza, de visée, marais, bach",Le lundi 6 mai 2024,"10 boulevard Montmartre, 75009 Paris","27,00€",,2024-05-06,,Paris,48.871839,2.341972
La Chimera : Pérou Baroque,"Eduardo egüez et la chimera proposent un programme gorgé de rythmes et de mélodies irrésistibles, mettant en regard les sonates de corelli et les compositions syncrétiques du pérou des hautes époques.",Le lundi 27 mai 2024,"10 boulevard Montmartre, 75009 Paris","27,00€",,2024-05-27,,Paris,48.871839,2.341972
"Barbara, Piano / Voix : Récital Moderne","Avec tendresse et espièglerie, mélanie le cam et pierre le normand réinterprètent de façon très personnelle le répertoire de barbara.",Le mercredi 13 mars 2024,"5 rue des Salorges, 44100 Nantes","24,00€",,2024-03-13,,Nantes,47.204696,-1.5757
Mon Cabrel Préféré,"Guitares, voix, harmonicas, accordéon... de quoi entrer dans le monde coloré de cabrel et se l'approprier sans le trahir aux travers de reprises.",Le mercredi 27 mars 2024,"5 rue des Salorges, 44100 Nantes","24,00€",,2024-03-27,,Nantes,47.204696,-1.5757
The Gesualdo Six,The gesualdo six,Le jeudi 14 mars 2024,"145 rue saint Honoré, 75001 Paris","27,00€",,2024-03-14,,Paris,48.861848,2.340199
"Les Thébaïdes, La Spiritualité Du Désert","Chants sacrés, manuscrits de las huelgas, chants des églises d'orient et chants soufis.",Le mercredi 15 mai 2024,"145 rue saint Honoré, 75001 Paris","27,00€",,2024-05-15,,Paris,48.861848,2.340199
Solistes Du Collegium Vocale Gent Et Philippe Herreweghe,"Madrigaux de monteverdi, de wert, d'india, rossi...",Le jeudi 23 mai 2024,"145 rue saint Honoré, 75001 Paris","27,00€",,2024-05-23,,Paris,48.861848,2.340199
Interpréter Beethoven,"Plusieurs concerts vous plongeront dans l'univers de beethoven, ses 32 sonates pour piano expliquées par j-f boukobza et interprétées par l boukobza.",Du vendredi 15 mars 2024 au dimanche 17 mars 2024,"109 rue des Haies, 75020 Paris","10,00€",jusqu'à -39%,2024-03-15,2024-03-17,Paris,48.855943,2.404293
500 Voix Pour Queen Toulouse,"Pour la première fois en europe, 500 choristes rendront hommage à freddie mercury et au groupe queen.",Le vendredi 15 mars 2024,"11 Avenue Raymond Badiou, 31300 Toulouse","45,00€",,2024-03-15,,Toulouse,43.59921,1.408371
Les Plus Belles Musiques Des Films De Miyazaki Nantes,Les plus belles musiques des films de miyazaki | grissini project,Du samedi 16 mars 2024 au dimanche 17 mars 2024,"5 rue de Valmy, 44000 Nantes","30,50€",jusqu'à -15%,2024-03-16,2024-03-17,Nantes,47.213291,-1.544019
Festin Célèstes,"Ensemble de la société de musique ancienne (professionnels) oeuvres de barbara strozzi, giralomo frescobaldi, claudio monteverdi",Le samedi 16 mars 2024,"8 bis rue Saint Augustin, 06300 Nice","16,50€",jusqu'à -15%,2024-03-16,,Nice,43.699328,7.279225
Zoë Conway Et John Mc Intyre,"Musique traditionnelle d'irlande ""simplement le meilleur duo de musique folk du monde"" bb",Le vendredi 5 avril 2024,"8 bis rue Saint Augustin, 06300 Nice","16,50€",jusqu'à -15%,2024-04-05,,Nice,43.699328,7.279225
Lagrime Amare,"Ensemble de la sociétéde musique ancienne de nice (professionnels) oeuvres de bernier, capricornus, couperin, frescobaldi & mazzocchi",Le samedi 13 avril 2024,"8 bis rue Saint Augustin, 06300 Nice","16,50€",jusqu'à -15%,2024-04-13,,Nice,43.699328,7.279225
Doulce Memoire,"Ensemble de la société de musique ancienne de nice (professionnels) oeuvres de palestrina, lassus, janequin, monteverdi",Le samedi 25 mai 2024,"8 bis rue Saint Augustin, 06300 Nice","16,50€",jusqu'à -15%,2024-05-25,,Nice,43.699328,7.279225
Gamba Et Organo,"Concert donné sur l'orgue historique de la providence dans le cadre du festival ""la route royale des orgues""",Le samedi 15 juin 2024,"8 bis rue Saint Augustin, 06300 Nice","16,50€",jusqu'à -15%,2024-06-15,,Nice,43.699328,7.279225
Lu Barbalùcou,Un répertoire à danser à chanter qui nous incitera à nous lever et à rentrer dans l'univers très particulier de ces quatre musiciens.,Le dimanche 17 mars 2024,"1 bis, rue Vernier, 06000 Nice","18,50€",jusqu'à -15%,2024-03-17,,Nice,43.707354,7.263169
Wild Roses,"Un duo de femmes pas bien sages pour une folk hybride et envoûtante, vibrante et engagée.",Le dimanche 7 avril 2024,"1 bis, rue Vernier, 06000 Nice","12,95€",jusqu'à -16%,2024-04-07,,Nice,43.707354,7.263169
Trada,"Un regard nouveau sur la musique traditionnelle irlandaise. 8 original irish music, and a new look at old songs.",Le dimanche 28 avril 2024,"1 bis, rue Vernier, 06000 Nice","12,95€",jusqu'à -16%,2024-04-28,,Nice,43.707354,7.263169
Diego Origlia Et Jean-Luc Dana : Dialogues Pour La Paix,"Des compositions qui se baladent d'un style à l'autre, d'une langue à l'autre... entre musique latine, jazz et blues.",Le dimanche 5 mai 2024,"1 bis, rue Vernier, 06000 Nice","12,95€",jusqu'à -16%,2024-05-05,,Nice,43.707354,7.263169
Philippine Lavrey,En concert au théâtre 100 noms à nantes,Le lundi 18 mars 2024,"21 quai des Antilles, 44200 Nantes","27,00€",,2024-03-18,,Nantes,47.200629,-1.573706
Mike & Riké De Sinsémilia,Souvenirs de saltimbanques,Le vendredi 24 mai 2024,"21 quai des Antilles, 44200 Nantes","22,00€",,2024-05-24,,Nantes,47.200629,-1.573706
Hervé Domingue En Concert,Chanson française qui enchante les coeurs et caresse les âmes.,Du mercredi 20 mars 2024 au mercredi 24 avril 2024,"6, rue Péclet, 75015 Paris","16,50€",jusqu'à -45%,2024-03-20,2024-04-24,Paris,48.843205,2.298558
Violons De Prague Lyon,"Violons de prague, parmi les meilleurs solistes d'instruments à cordes de prague et l'une des plus prestigieuses soprano de la république tchèque.",Le mercredi 20 mars 2024,"8 Place de Fourvière, 69005 Lyon","29,50€",jusqu'à -18%,2024-03-20,,Lyon,45.761915,4.822541
Récital De Piano uvres Célèbres Classiques Et Jazz,Récital de piano uvres célèbres classiques et jazz,Le jeudi 21 mars 2024,"4 Rue du Havre, 75009 Paris","0,00€",Gratuit,2024-03-21,,Paris,48.874476,2.32702
Duo Linos,"Un concert avec le duo linos, c'est le plaisir des émotions partagées et repartir avec le sourire aux lèvres et les yeux qui pétillent.",Le jeudi 21 mars 2024,"17 rue Ferdinand Fabre, 34000 Montpellier","14,50€",jusqu'à -17%,2024-03-21,,Montpellier,43.6169,3.878291
Thomas Valverde,Concert de lancement polka tour,Le lundi 25 mars 2024,"1 place Charles Dullin, 75018 Paris","16,50€",,2024-03-25,,Paris,48.88338,2.342473
Catherine Ringer Dans L'Érotisme De Vivre,Poèmes lus et chantés par catherine ringer,Du lundi 1 avril 2024 au samedi 6 avril 2024,"1 place Charles Dullin, 75018 Paris","22,00€",,2024-04-01,2024-04-06,Paris,48.88338,2.342473
Giedré,Les chansons de la radio.,Le lundi 6 mai 2024,"1 place Charles Dullin, 75018 Paris","20,50€",,2024-05-06,,Paris,48.88338,2.342473
Jeanfrançois Prins : All Stars Blue Note Mode,Jeanfrançois prins all stars blue note mode,Le lundi 25 mars 2024,"7/9 rue des Petites Ecuries, 75010 Paris","31,50€",,2024-03-25,,Paris,48.873099,2.35331
Jean Jacques Milteau,"J.j.milteau "" key to the highway """,Le mardi 21 mai 2024,"7/9 rue des Petites Ecuries, 75010 Paris","26,00€",,2024-05-21,,Paris,48.873099,2.35331
Léonard Lasry : Le Grand Danger De Se Plaire,"Construit autour des mélodies qu'il compose au piano, léonard livre sur scène, de sa voix chaude et de sa patte pianistique inimitable, des versions épurées des chansons de son répertoire.",Le mardi 26 mars 2024,"25 rue Fontaine, 75009 Paris","18,00€",,2024-03-26,,Paris,48.882017,2.333724
Disturbance,F. ginot dialogue avec des images allégoriques nées de la vidéo. des fragments musicaux rencontrent les claquements cinétiques de l'électronique.,Le jeudi 28 mars 2024,"17 boulevard jourdan, 75014 Paris","17,50€",jusqu'à -32%,2024-03-28,,Paris,48.820109,2.338625
Les Annees 80-90 : La Fete !,Concert caritatif en faveur des enfants défavorisés.,Le mardi 2 avril 2024,"20 rue de la gaité, 75014 Paris","45,00€",,2024-04-02,,Paris,48.839811,2.32357
"Charlebois, Ducharme Et Les Autres","Ducharme, rimbaud, vigneault, mouffe, etc.",Du mercredi 29 mai 2024 au dimanche 9 juin 2024,"20 rue de la gaité, 75014 Paris","35,00€",,2024-05-29,2024-06-09,Paris,48.839811,2.32357
Les Ados Supers Chiants,"Paroles sans filtre d'ados. une scène silencieuse, des bouquins, un sax, un piano... et voilà les jeunes qui déroulent leur monde aux couleurs vives.",Le dimanche 7 avril 2024,"8 rue Félibien, 44000 Nantes","7,95€",,2024-04-07,,Nantes,47.220902,-1.563862
Fusion,L'aventure met en scène le chanteur avec son accordéon fétiche accompagné de pédales aux effets étonnants et d'une guitare aux mélodies enjouées.,Le samedi 20 avril 2024,"8 rue Félibien, 44000 Nantes","7,95€",,2024-04-20,,Nantes,47.220902,-1.563862
"Bach, Suites Pour Violon Seul",L'himalaya du violoncelle,Le jeudi 11 avril 2024,"3 rue Pourquery de Boisserin, 84000 Avignon","16,50€",jusqu'à -18%,2024-04-11,,Avignon,43.94645,4.804598
Bomsori Et Jean-Paul Gasparian,"Bomsori et jean-paul gasparian interprètent beethoven, brahms et szymanowski",Le jeudi 16 mai 2024,"3 rue Pourquery de Boisserin, 84000 Avignon","16,50€",jusqu'à -18%,2024-05-16,,Avignon,43.94645,4.804598
Brandbourgeois,"Kenneth weiss, chef d'orchestre et claveciniste américain, interprète l'intégrale des concertos brandebourgeois de jean-sébastien bach.",Le vendredi 31 mai 2024,"3 rue Pourquery de Boisserin, 84000 Avignon","16,50€",jusqu'à -13%,2024-05-31,,Avignon,43.94645,4.804598
Veronika Rodriguez Chante Josephine Baker,Veronika rodriguez chante joséphine baker avec le côte ouest jazz quartet  un spectacle sur la grande joséphine baker !,Le vendredi 19 avril 2024,"10, rue Arsène Leloup, 44000 Nantes","22,00€",,2024-04-19,,Nantes,47.212361,-1.569572
Manga Symphonic Odyssey,Redécouvrez les plus grandes musiques d'animes lors d'un concert symphonique exceptionnel !,Le samedi 20 avril 2024,"1 boulevard des cités unies, 59000 Lille","35,00€",,2024-04-20,,Lille,50.631536,3.078683
David Hallyday : Requiem Pour Un Fou Lille,La tournée cent pour cent hallyday.,Le dimanche 10 novembre 2024,"1 boulevard des cités unies, 59000 Lille","55,00€",jusqu'à -2%,2024-11-10,,Lille,50.631536,3.078683
"Oldelaf Dans Un, Deux, Trois","Fidèle à lui-même et d'une simplicité déconcertante, oldelaf vous invite à partager son aventure unique !",Le samedi 27 avril 2024,"3 rue Paganini, 06000 Nice","24,00€",jusqu'à -11%,2024-04-27,,Nice,43.701851,7.263917
Requiem De Mozart & Boléro De Ravel,"Orchestre hélios, choeur hélios éphémère, direction matthieu cabanes",Du mercredi 1 mai 2024 au jeudi 25 juillet 2024,"2 rue Palatine, 75006 Paris","16,50€",jusqu'à -25%,2024-05-01,2024-07-25,Paris,48.850827,2.335586
